cell_name	gene_name	tissue_type	gene_id
Schwalie et al.Nature.P3	Lmo7	Adipose tissue	ENSMUSG00000033060
Schwalie et al.Nature.G1	Fyn	Adipose tissue	ENSMUSG00000019843
Schwalie et al.Nature.G4	S100a16	Adipose tissue	ENSMUSG00000074457
Schwalie et al.Nature.G2	Pofut2	Adipose tissue	ENSMUSG00000020260
Schwalie et al.Nature.P1	Ackr2	Adipose tissue	ENSMUSG00000044534
Schwalie et al.Nature.G1	Tns1	Adipose tissue	ENSMUSG00000055322
Schwalie et al.Nature.P2	Tcf7l2	Adipose tissue	ENSMUSG00000024985
Schwalie et al.Nature.P1	Xpnpep2	Adipose tissue	ENSMUSG00000037005
Schwalie et al.Nature.G1	Igfbp5	Adipose tissue	ENSMUSG00000026185
Schwalie et al.Nature.G3	Ifitm1	Adipose tissue	ENSMUSG00000025491
Schwalie et al.Nature.G1	Gstt1	Adipose tissue	ENSMUSG00000001663
Schwalie et al.Nature.P2	Enpep	Adipose tissue	ENSMUSG00000028024
Schwalie et al.Nature.P1	Clip4	Adipose tissue	ENSMUSG00000024059
Schwalie et al.Nature.G1	Ctsl	Adipose tissue	ENSMUSG00000021477
Schwalie et al.Nature.G2	Fbln7	Adipose tissue	ENSMUSG00000027386
Schwalie et al.Nature.P3	Tpp1	Adipose tissue	ENSMUSG00000030894
Schwalie et al.Nature.G2	Slc9a3r2	Adipose tissue	ENSMUSG00000002504
Schwalie et al.Nature.G2	Ssr2	Adipose tissue	ENSMUSG00000041355
Schwalie et al.Nature.G4	Akr1c14	Adipose tissue	ENSMUSG00000033715
Schwalie et al.Nature.G2	Clmp	Adipose tissue	ENSMUSG00000032024
Schwalie et al.Nature.G2	Tusc3	Adipose tissue	ENSMUSG00000118664
Schwalie et al.Nature.G1	Anpep	Adipose tissue	ENSMUSG00000039062
Schwalie et al.Nature.P2	Myo1b	Adipose tissue	ENSMUSG00000018417
Schwalie et al.Nature.G1	Nox4	Adipose tissue	ENSMUSG00000030562
Schwalie et al.Nature.P2	Sparcl1	Adipose tissue	ENSMUSG00000029309
Schwalie et al.Nature.G1	Ltbp1	Adipose tissue	ENSMUSG00000001870
Schwalie et al.Nature.G4	Ly6e	Adipose tissue	ENSMUSG00000022587
Schwalie et al.Nature.G3	Ppp1r15a	Adipose tissue	ENSMUSG00000040435
Schwalie et al.Nature.G3	Sned1	Adipose tissue	ENSMUSG00000047793
Schwalie et al.Nature.G3	Lsamp	Adipose tissue	ENSMUSG00000061080
Schwalie et al.Nature.P3	Fgd5	Adipose tissue	ENSMUSG00000034037
Schwalie et al.Nature.P1	Tgfbr2	Adipose tissue	ENSMUSG00000032440
Schwalie et al.Nature.G1	Klf3	Adipose tissue	ENSMUSG00000029178
Schwalie et al.Nature.G1	Rpl18a	Adipose tissue	ENSMUSG00000045128
